A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Mr. Emerson,George Emerson,961,962,yes indeed,i i ll come up to tennis if i can manage it,George Emerson; Lucy; Miss Bartlett; Mrs. Honeychurch,M,intermediate,M,intermediate
George Emerson,Mr. Emerson,962,963,i i ll come up to tennis if i can manage it,george don t go george has been in such good spirits today and i am sure he will end by coming up this afternoon,Lucy; Miss Bartlett; Mr. Emerson; Mrs. Honeychurch,M,intermediate,M,intermediate
Mr. Emerson,Lucy,963,964,george don t go george has been in such good spirits today and i am sure he will end by coming up this afternoon,yes i do hope he will,George Emerson; Lucy; Miss Bartlett; Mrs. Honeychurch,M,intermediate,,
Lucy,Mr. Vyse,967,968,the emersons have been so nice george emerson has improved enormously,how are my proteges,Miss Bartlett; Mr. Vyse; Mrs. Honeychurch,,,M,intermediate
Mr. Vyse,Lucy,968,969,how are my proteges,proteges you shall see for yourself how your proteges are george emerson is coming up this afternoon he is a most interesting man to talk to only don t,Lucy; Miss Bartlett; Mrs. Honeychurch,M,intermediate,,
Lucy,Mr. Vyse,969,970,proteges you shall see for yourself how your proteges are george emerson is coming up this afternoon he is a most interesting man to talk to only don t,now play us the other garden the one in parsifal,Miss Bartlett; Mr. Vyse; Mrs. Honeychurch,,,M,intermediate
Mr. Vyse,Mrs. Honeychurch,970,971,now play us the other garden the one in parsifal,not very dutiful,Freddy; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Lucy,971,972,not very dutiful,oh i had no idea,Freddy; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mr. Vyse,F,major,,
Lucy,Miss Bartlett,972,973,oh i had no idea,our performer has changed her mind,Freddy; George Emerson; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,,,F,major
Miss Bartlett,Freddy,973,974,our performer has changed her mind,i vote tennis,Freddy; George Emerson; Lucy; Minnie Beebe; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,F,major,M,intermediate
Freddy,Lucy,974,975,i vote tennis,yes so do i i vote you have a men s four,George Emerson; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,M,intermediate,,
Lucy,Freddy,975,976,yes so do i i vote you have a men s four,all right,Freddy; George Emerson; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,,,M,intermediate
Freddy,Mr. Vyse,976,977,all right,not for me thank you i will not spoil the set,George Emerson; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,M,intermediate,M,intermediate
Mr. Vyse,Freddy,977,978,not for me thank you i will not spoil the set,oh come along cecil i m bad floyd s rotten and so i dare say s emerson,Freddy; George Emerson; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mrs. Honeychurch,M,intermediate,M,intermediate
Freddy,George Emerson,978,979,oh come along cecil i m bad floyd s rotten and so i dare say s emerson,i am not bad,George Emerson; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,M,intermediate,M,intermediate
George Emerson,Mr. Vyse,979,980,i am not bad,then certainly i won t play,Freddy; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,M,intermediate,M,intermediate
Mr. Vyse,Miss Bartlett,980,981,then certainly i won t play,i agree with you mr vyse you had much better not play much better not,Freddy; George Emerson; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd; Mrs. Honeychurch,M,intermediate,F,major
Miss Bartlett,Minnie Beebe,981,982,i agree with you mr vyse you had much better not play much better not,i shall miss every ball anyway so what does it matter,Freddy; George Emerson; Lucy; Minnie Beebe; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,F,major,F,minor
Minnie Beebe,Mrs. Honeychurch,982,983,i shall miss every ball anyway so what does it matter,then it will have to be lucy you must fall back on lucy there is no other way out of it lucy go and change your frock,Freddy; George Emerson; Lucy; Miss Bartlett; Mr. Floyd; Mr. Vyse; Mrs. Honeychurch,F,minor,F,major
Mrs. Honeychurch,George Emerson,983,984,then it will have to be lucy you must fall back on lucy there is no other way out of it lucy go and change your frock,i shall want to live i tell you,Freddy; George Emerson; Lucy; Minnie Beebe; Miss Bartlett; Mr. Vyse,F,major,M,intermediate
Mr. Vyse,Lucy,985,986,i say listen to this lucy three split infinitives,dreadful,Freddy; George Emerson; Lucy; Mr. Floyd,M,intermediate,,
Lucy,Mr. Vyse,986,987,dreadful,the scene is laid in florence,Freddy; George Emerson; Mr. Floyd; Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,987,988,the scene is laid in florence,what fun cecil read away come mr emerson sit down after all your energy,George Emerson; Lucy,M,intermediate,,
Lucy,George Emerson,988,989,what fun cecil read away come mr emerson sit down after all your energy,you and are you tired,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Lucy,989,990,you and are you tired,of course i m not,Lucy; Mr. Vyse,M,intermediate,,
Lucy,George Emerson,990,991,of course i m not,do you mind being beaten,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Lucy,991,992,do you mind being beaten,yes i don t see you re such a splendid player though the light was behind you and it was in my eyes,Lucy; Mr. Vyse,M,intermediate,,
Lucy,George Emerson,992,993,yes i don t see you re such a splendid player though the light was behind you and it was in my eyes,i never said i was,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Lucy,993,994,i never said i was,why you did,Lucy; Mr. Vyse,M,intermediate,,
Lucy,George Emerson,994,995,why you did,you didn t attend,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Lucy,995,996,you didn t attend,you said oh don t go in for accuracy at this house we all exaggerate and we get very angry with people who don t leonora is leonora the heroine who s the book by,Lucy; Mr. Vyse,M,intermediate,,
Lucy,Mr. Vyse,996,997,you said oh don t go in for accuracy at this house we all exaggerate and we get very angry with people who don t leonora is leonora the heroine who s the book by,joseph emery prank,George Emerson; Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,997,998,joseph emery prank,indeed why it s miss lavish it s miss lavish s novel and she s publishing it under somebody else s name,George Emerson; Lucy,M,intermediate,,
Lucy,Mr. Vyse,998,999,indeed why it s miss lavish it s miss lavish s novel and she s publishing it under somebody else s name,who may miss lavish be,George Emerson; Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,999,1000,who may miss lavish be,oh a dreadful person mr emerson you remember miss lavish,George Emerson; Lucy,M,intermediate,,
Lucy,George Emerson,1000,1001,oh a dreadful person mr emerson you remember miss lavish,of course i do i saw her the day i arrived at summer street it was she who told me that you lived here,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Lucy,1001,1002,of course i do i saw her the day i arrived at summer street it was she who told me that you lived here,weren t you pleased no wonder the novel s bad i never liked miss lavish but i suppose one ought to read it as one s met her,Lucy; Mr. Vyse,M,intermediate,,
Lucy,Mr. Vyse,1002,1003,weren t you pleased no wonder the novel s bad i never liked miss lavish but i suppose one ought to read it as one s met her,all modern books are bad every one writes for money in these days,George Emerson; Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1003,1004,all modern books are bad every one writes for money in these days,oh cecil,George Emerson; Lucy,M,intermediate,,
Lucy,Mr. Vyse,1004,1005,oh cecil,it is so i will inflict joseph emery prank on you no longer,George Emerson; Mr. Vyse,,,M,intermediate
Mr. Vyse,Lucy,1005,1006,it is so i will inflict joseph emery prank on you no longer,how do you like this view of ours mr emerson,George Emerson; Lucy,M,intermediate,,
Lucy,George Emerson,1006,1007,how do you like this view of ours mr emerson,i never notice much difference in views,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Lucy,1007,1008,i never notice much difference in views,what do you mean,Lucy; Mr. Vyse,M,intermediate,,
Lucy,George Emerson,1008,1009,what do you mean,because they re all alike because all that matters in them is distance and air,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Mr. Vyse,1009,1010,because they re all alike because all that matters in them is distance and air,h m,Lucy; Mr. Vyse,M,intermediate,M,intermediate
Mr. Vyse,George Emerson,1010,1011,h m,my father says that there is only one perfect view the view of the sky straight over our heads and that all these views on earth are but bungled copies of it,George Emerson; Lucy,M,intermediate,M,intermediate
George Emerson,Mr. Vyse,1011,1012,my father says that there is only one perfect view the view of the sky straight over our heads and that all these views on earth are but bungled copies of it,i expect your father has been reading dante,Lucy; Mr. Vyse,M,intermediate,M,intermediate
Mr. Vyse,George Emerson,1012,1013,i expect your father has been reading dante,he told us another day that views are really crowds crowds of trees and houses and hills and are bound to resemble each other like human crowds and that the power they have over us is sometimes supernatural for the same reason for a crowd is more than the people who make it up something gets added to it no one knows how just as something has got added to those hills,George Emerson; Lucy,M,intermediate,M,intermediate
George Emerson,Lucy,1013,1014,he told us another day that views are really crowds crowds of trees and houses and hills and are bound to resemble each other like human crowds and that the power they have over us is sometimes supernatural for the same reason for a crowd is more than the people who make it up something gets added to it no one knows how just as something has got added to those hills,what a splendid idea i shall enjoy hearing your father talk again i m so sorry he s not so well,Lucy; Mr. Vyse,M,intermediate,,
Lucy,George Emerson,1014,1015,what a splendid idea i shall enjoy hearing your father talk again i m so sorry he s not so well,no he isn t well,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Mr. Vyse,1015,1016,no he isn t well,there s an absurd account of a view in this book also that men fall into two classes those who forget views and those who remember them even in small rooms,Lucy; Mr. Vyse,M,intermediate,M,intermediate
Mr. Vyse,Lucy,1016,1017,there s an absurd account of a view in this book also that men fall into two classes those who forget views and those who remember them even in small rooms,mr emerson have you any brothers or sisters,George Emerson; Lucy,M,intermediate,,
Lucy,George Emerson,1017,1018,mr emerson have you any brothers or sisters,none why,George Emerson; Mr. Vyse,,,M,intermediate
George Emerson,Lucy,1018,1019,none why,you spoke of,Lucy; Mr. Vyse,M,intermediate,,
Lucy,George Emerson,1019,1020,you spoke of,my mother i was meaning,George Emerson; Mr. Vyse,,,M,intermediate
